,2019 (Jan-Mar avg),2020 (Jan-Mar avg),Change
Primary_School,5.6000000000000005,6.0,0.39999999999999947
Hispanic,4.6000000000000005,4.8999999999999995,0.29999999999999893
High_School,3.7000000000000006,3.9333333333333336,0.23333333333333295
Asian,3.1,3.1999999999999997,0.09999999999999964
White,3.4,3.4,0.0
Women,3.4333333333333336,3.4333333333333336,0.0
Professional_Degree,2.1999999999999997,2.1333333333333333,-0.06666666666666643
Men,3.6,3.533333333333333,-0.06666666666666687
Associates_Degree,3.3000000000000003,3.1666666666666665,-0.13333333333333375
Black,6.766666666666666,6.166666666666667,-0.5999999999999988
