State,Feb,Jan,Mar,Change_Jan_to_Mar
Nevada,3.6,3.6,6.3,2.6999999999999997
Colorado,2.8,2.5,4.5,2.0
Florida,3.1,2.8,4.3,1.5
Kentucky,5.2,4.3,5.8,1.5
Rhode Island,2.5,3.1,4.6,1.4999999999999996
Ohio,3.2,4.1,5.5,1.4000000000000004
California,2.5,3.9,5.3,1.4
Arkansas,3.9,3.5,4.8,1.2999999999999998
Pennsylvania,3.4,4.7,6.0,1.2999999999999998
Washington,4.9,3.9,5.1,1.1999999999999997
New Mexico,3.7,4.8,5.9,1.1000000000000005
Georgia,2.7,3.1,4.2,1.1
Utah,3.4,2.5,3.6,1.1
Delaware,5.2,4.0,5.1,1.0999999999999996
West Virginia,3.7,5.0,6.1,1.0999999999999996
Illinois,3.1,3.5,4.6,1.0999999999999996
Missouri,3.5,3.5,4.5,1.0
Arizona,4.5,4.5,5.5,1.0
Louisiana,3.2,5.1,6.1,1.0
Iowa,3.1,2.8,3.7,0.9000000000000004
Vermont,2.6,2.4,3.2,0.8000000000000003
North Carolina,2.2,3.6,4.4,0.8000000000000003
Alabama,2.7,2.7,3.5,0.7999999999999998
D.C.,2.8,5.2,6.0,0.7999999999999998
New York,3.6,3.8,4.5,0.7000000000000002
Virginia,3.8,2.7,3.3,0.5999999999999996
Nebraska,3.6,3.9,4.2,0.30000000000000027
Michigan,3.1,3.8,4.1,0.2999999999999998
Texas,2.5,4.5,4.7,0.20000000000000018
Tennessee,3.5,3.3,3.5,0.20000000000000018
South Carolina,3.3,2.4,2.6,0.20000000000000018
Massachusetts,3.6,2.8,2.9,0.10000000000000009
Maine,3.3,3.1,3.2,0.10000000000000009
Indiana,2.8,3.1,3.2,0.10000000000000009
Oregon,4.7,3.3,3.3,0.0
Montana,2.9,3.5,3.5,0.0
New Jersey,4.8,3.8,3.8,0.0
New Hampshire,3.8,2.6,2.6,0.0
Maryland,2.8,3.3,3.3,0.0
Kansas,4.2,3.1,3.1,0.0
Connecticut,3.9,3.7,3.7,0.0
Wyoming,5.8,3.7,3.7,0.0
North Dakota,4.2,2.3,2.2,-0.09999999999999964
South Dakota,3.4,3.4,3.3,-0.10000000000000009
Minnesota,5.4,3.2,3.1,-0.10000000000000009
Hawaii,2.7,2.7,2.6,-0.10000000000000009
Wisconsin,2.7,3.5,3.4,-0.10000000000000009
Oklahoma,3.3,3.3,3.1,-0.19999999999999973
Idaho,3.4,2.8,2.6,-0.19999999999999973
Mississippi,3.5,5.5,5.3,-0.20000000000000018
Alaska,5.8,6.0,5.6,-0.40000000000000036
Puerto Rico,4.5,8.9,6.7,-2.2
